date,score
2019-03-19 18:00,72.88714498601965
2019-03-19 19:00,77.31909689933738
2019-03-19 20:00,70.37142046492816
2019-03-19 21:00,77.62006884488308
2019-03-19 22:00,66.71948852827882
2019-03-19 23:00,72.00761968244639
2019-03-20 00:00,69.69641555281079
2019-03-20 01:00,70.41341750364296
2019-03-20 03:00,69.8579394190419
2019-03-20 04:00,64.33534685298642
2019-03-20 05:00,73.10443984694382
2019-03-20 06:00,65.72910327339781
2019-03-20 07:00,66.39969285100481
2019-03-20 08:00,74.45989985299053
2019-03-20 09:00,64.82060731076882
2019-03-20 10:00,73.85728916351148
2019-03-20 11:00,77.69862180058075
2019-03-20 12:00,85.17196578904728
2019-03-20 13:00,85.11190301642357
2019-03-20 14:00,80.53074207021697
2019-03-20 15:00,84.71967387729177
2019-03-20 16:00,82.7619725636087
2019-03-20 17:00,77.19757407596272
2019-03-20 18:00,88.2206949882924
2019-03-20 19:00,77.8516627130562
2019-03-20 20:00,85.0300422529564
2019-03-20 21:00,90.87364951872162
2019-03-20 22:00,82.36206738423016
2019-03-20 23:00,87.25444677081498
2019-03-21 00:00,84.9648432548621
2019-03-21 01:00,61.62153670323202
2019-03-21 02:00,71.33883418981955
2019-03-21 03:00,64.4620023497225
2019-03-21 04:00,75.5995470679275
2019-03-21 05:00,65.72959249484684
2019-03-21 06:00,72.12662783461508
2019-03-21 07:00,65.27132479283942
2019-03-21 08:00,79.7053135374694
2019-03-21 09:00,75.76605969266187
2019-03-21 10:00,65.38595212002635
2019-03-21 11:00,71.88659728884986
2019-03-21 18:00,72.90727820386738
2019-03-21 19:00,65.29807711956687
2019-03-21 20:00,69.43283977410066
2019-03-21 21:00,67.58312361335983
2019-03-21 22:00,74.98989602914871
2019-03-21 23:00,75.96638519372408
2019-03-22 00:00,70.31143149699726
2019-03-22 01:00,63.79432105779607
2019-03-22 02:00,67.69547536503259
2019-03-22 03:00,65.64971941377361
2019-03-22 04:00,70.76081545916846
2019-03-22 05:00,69.06597850322194
2019-03-22 06:00,64.29934588712514
2019-03-22 07:00,71.23592266319625
2019-03-22 08:00,85.42895483922322
2019-03-22 09:00,65.8390508439284
2019-03-22 10:00,75.97705118074899
2019-03-22 11:00,59.99906051957869
2019-03-22 12:00,65.23494507014811
2019-03-22 13:00,82.23865533020168
2019-03-22 14:00,91.08030352899831
2019-03-22 15:00,84.41651495334673
2019-03-22 16:00,88.16122534733496
2019-03-22 17:00,77.86408539815899
2019-03-22 18:00,69.26502046283828
2019-03-22 19:00,68.10651662307806
2019-03-22 20:00,75.7975050359771
2019-03-22 21:00,72.32592366347163
2019-03-22 22:00,65.51740992468045
2019-03-22 23:00,75.5369228908483
2019-03-23 00:00,68.5744336131153
2019-03-23 01:00,67.1790945470939
2019-03-23 02:00,69.53012157531323
2019-03-23 03:00,71.85134430958783
2019-03-23 11:00,73.28573887612144
2019-03-23 12:00,67.79636849621059
2019-03-23 13:00,66.6389458951638
2019-03-23 14:00,69.16480083106642
2019-03-23 15:00,66.03293138680519
2019-03-23 16:00,71.90805070245506
2019-03-23 17:00,88.01675381427287
2019-03-23 18:00,74.52793020427853
2019-03-23 20:00,78.98508900645625
2019-03-23 21:00,85.55125661088763
2019-03-23 22:00,83.45892693918903
2019-03-23 23:00,80.66462428961307
2019-03-24 00:00,83.97964024354461
2019-03-24 01:00,80.13235062413575
2019-03-24 02:00,91.51131182080856
2019-03-24 03:00,81.04854291671614
2019-03-24 05:00,85.0902683046586
2019-03-24 06:00,87.14450166212761
2019-03-24 07:00,86.60718346777095
2019-03-24 08:00,78.89684490734592
2019-03-24 09:00,80.67910596179424
2019-03-24 10:00,80.87198412704014
2019-03-24 11:00,69.7740386575842
2019-03-24 12:00,84.20546691622964
2019-03-24 13:00,87.50111345162247
2019-03-24 14:00,74.3683732027871
2019-03-24 15:00,88.78862057601864
2019-03-24 16:00,71.07625142644497
2019-03-24 17:00,70.92699692641379
2019-03-24 18:00,75.51896502416137
2019-03-24 19:00,70.49039192659365
2019-03-24 20:00,69.9444239519131
2019-03-24 21:00,71.02431187171977
2019-03-24 22:00,66.93400000926665
2019-03-24 23:00,74.03927660962552
2019-03-25 00:00,67.8670362006384
2019-03-25 01:00,71.46861378658284
2019-03-25 02:00,75.40157434445814
2019-03-25 03:00,87.68488194934953
2019-03-25 04:00,87.5491042475543
2019-03-25 05:00,94.9668304149132
2019-03-25 06:00,85.17442471690671
2019-03-25 07:00,90.16297672715113
2019-03-25 08:00,85.79018016849305
2019-03-25 09:00,87.67686843174276
2019-03-25 10:00,69.97424245803033
2019-03-25 11:00,71.35204860177618
2019-03-25 12:00,70.85792227093329
2019-03-25 13:00,85.27524737942288
2019-03-25 14:00,92.36902914796285
2019-03-25 15:00,74.45199749818984
2019-03-25 16:00,88.63624302612851
2019-03-25 17:00,78.47534997127002
2019-03-25 18:00,74.61797249454204
2019-03-25 19:00,72.94387003179621
2019-03-25 20:00,72.53015957510765
2019-03-25 21:00,72.97654009225322
2019-03-25 22:00,68.13521268525258
2019-03-25 23:00,65.46915083159689
2019-03-26 00:00,70.56339415312304
2019-03-26 01:00,75.72453047482773
2019-03-26 02:00,94.0486586946616
2019-03-26 03:00,89.24560826676347
2019-03-26 04:00,87.8075593859797
2019-03-26 05:00,78.14465580571324
2019-03-26 06:00,85.8317516078669
2019-03-26 07:00,84.50128625358299
2019-03-26 08:00,82.16072966807116
2019-03-26 09:00,85.30784947938955
2019-03-26 10:00,80.85305962234177
2019-03-26 11:00,83.2197893176118
2019-03-26 12:00,86.42544103186641
