date,score
2018-06-08 09:00,4.34238746605636
2018-06-08 15:00,4.447086064438078
2018-06-08 20:00,5.727512473892255
2018-06-09 01:00,5.0390774014313315
2018-06-09 08:00,4.51458483842856
2018-06-09 17:00,4.117753229974285
2018-06-10 12:00,5.08886116648783
2018-06-10 16:00,4.617743596569967
2018-06-11 08:00,4.47118473760724
2018-06-11 18:00,4.621530141166633
2018-06-12 14:00,5.087739368656996
2018-06-12 17:00,4.493263120468187
2018-06-13 02:00,5.821033943536684
2018-06-13 05:00,6.21440951181231
2018-06-13 21:00,4.229687170149377
2018-06-14 03:00,4.917130144897407
2018-06-14 10:00,6.34711504734499
2018-06-14 14:00,5.2821696048065725
2018-06-14 16:00,5.411884960753412
2018-06-15 09:00,5.019228433072338
2018-06-15 15:00,6.511045223806799
2018-06-15 18:00,4.239128848410854
2018-06-15 20:00,4.821014628001857
2018-06-16 02:00,4.671219374019754
2018-06-16 05:00,4.444478375976724
2018-06-17 20:00,5.135289773025578
2018-06-18 23:00,3.4566201475965204
2018-06-19 12:00,6.635650796976216
2018-06-19 13:00,5.295285692950948
2018-06-20 08:00,6.103712588917675
2018-06-20 12:00,5.083446437052983
2018-06-20 13:00,6.7582906574408925
2018-06-22 14:00,4.701191211172867
2018-06-22 19:00,5.805064930593601
2018-06-22 21:00,3.7151840601738466
2018-06-23 04:00,5.580976295059019
2018-06-23 05:00,4.982950119387268
2018-06-23 10:00,6.630273102499808
2018-06-23 14:00,6.055610400024101
2018-06-23 17:00,4.8308364297639095
2018-06-23 21:00,5.729477639806616
2018-06-24 03:00,5.7593529166928095
2018-06-24 09:00,4.92973616561595
2018-06-24 16:00,4.645969988235083
2018-06-24 21:00,5.646771644925039
2018-06-25 02:00,4.549054446997902
2018-06-25 05:00,5.221399427651167
2018-06-25 10:00,4.712771732980454
2018-06-25 16:00,5.6205077550996165
2018-06-26 05:00,5.42310817164774
2018-06-26 12:00,4.528074055213463
2018-06-27 06:00,4.954926822845189
2018-06-27 12:00,6.251141601507406
2018-06-27 15:00,4.917866265944228
2018-06-28 09:00,4.172727217789579
2018-06-28 17:00,5.4253983115985465
2018-06-28 21:00,6.821275625215391
2018-06-29 00:00,7.056168281631288
2018-06-29 13:00,4.29266049115289
2018-06-29 17:00,3.5999741820674602
2018-06-30 10:00,6.719510260676189
2018-06-30 11:00,6.645876752023008
2018-06-30 18:00,4.5510999721785685
2018-07-01 01:00,7.345720208855915
2018-07-01 13:00,4.767281579787813
2018-07-01 16:00,4.7803309513083345
2018-07-01 19:00,6.282878681187316
2018-07-02 08:00,7.598243655405272
2018-07-02 18:00,7.414975542242015
2018-07-04 16:00,5.754035617744733
2018-07-04 19:00,6.458133622426157
2018-07-04 22:00,5.759216409829434
2018-07-05 09:00,8.2162014829833
2018-07-05 13:00,6.056856270884143
2018-07-05 15:00,5.159869144746762
2018-07-05 21:00,5.937853784597824
2018-07-06 09:00,7.795308339279662
2018-07-06 10:00,8.015182795674857
2018-07-06 16:00,5.3994284203839875
2018-07-06 19:00,7.786600421878979
2018-07-07 06:00,8.265765819000766
2018-07-07 12:00,9.16255921799836
2018-07-07 18:00,6.527551507421715
2018-07-07 22:00,6.756316828734444
2020-01-06 06:00,2.25990675587247
2020-03-28 16:00,2.1366918269292206
2020-03-28 17:00,2.2104304456957506
